구분, 총계 , 총계 남 , 총계 여 , 중구 계 , 중구 남 , 중구 여 , 동구 계 , 동구 남 , 동구 여 , 서구 계 , 서구 남 , 서구 여 , 남구 계 , 남구 남 , 남구 여 , 북구 계 , 북구 남 , 북구 여 , 수성구 계 , 수성구 남 , 수성구 여 , 달서구 계 , 달서구 남 , 달서구 여 , 달성군 계 , 달성군 남 , 달성군 여 
41세,37069,18348,18721,1044,568,476,5104,2718,2386,2472,1344,1128,1954,977,977,7021,3434,3587,6921,3059,3862,8835,4306,4529,3718,1942,1776
42세,39829,19689,20140,1114,613,501,5410,2895,2515,2654,1479,1175,2186,1120,1066,7687,3743,3944,7572,3276,4296,9352,4527,4825,3854,2036,1818
43세,42882,20863,22019,1215,612,603,5747,3011,2736,2875,1570,1305,2314,1194,1120,8161,3953,4208,8213,3557,4656,10448,4913,5535,3909,2053,1856
44세,43818,21586,22232,1193,612,581,5610,2992,2618,3084,1650,1434,2491,1269,1222,8409,4094,4315,8740,3928,4812,10484,5009,5475,3807,2032,1775
45세,45065,22170,22895,1212,637,575,5661,2924,2737,3101,1626,1475,2496,1276,1220,8505,4211,4294,9230,4255,4975,11011,5217,5794,3849,2024,1825
46세,45403,22414,22989,1272,652,620,5591,2920,2671,3230,1680,1550,2439,1228,1211,8607,4274,4333,9439,4377,5062,10977,5280,5697,3848,2003,1845
47세,45569,22304,23265,1233,621,612,5523,2783,2740,3433,1746,1687,2552,1281,1271,8467,4205,4262,9258,4322,4936,11409,5502,5907,3694,1844,1850
48세,47474,23412,24062,1221,620,601,5927,2966,2961,3677,1845,1832,2604,1355,1249,8768,4415,4353,9464,4553,4911,11804,5639,6165,4009,2019,1990
49세,44438,21777,22661,1194,598,596,5598,2719,2879,3564,1838,1726,2567,1299,1268,7926,3941,3985,8838,4274,4564,11109,5280,5829,3642,1828,1814
50세,42591,21187,21404,1196,615,581,5338,2620,2718,3563,1819,1744,2417,1200,1217,7814,3981,3833,8012,3961,4051,10625,5143,5482,3626,1848,1778
51세,43107,21214,21893,1097,530,567,5591,2739,2852,3838,1965,1873,2455,1222,1233,7636,3837,3799,7938,3904,4034,10834,5137,5697,3718,1880,1838
52세,42781,20946,21835,1209,614,595,5774,2780,2994,3861,1922,1939,2470,1142,1328,7430,3666,3764,7855,3853,4002,10604,5146,5458,3578,1823,1755
53세,38964,19351,19613,1087,558,529,5247,2564,2683,3556,1873,1683,2313,1095,1218,6788,3343,3445,7088,3523,3565,9682,4747,4935,3203,1648,1555
54세,45980,22763,23217,1352,666,686,6103,2966,3137,4296,2113,2183,2833,1373,1460,8031,4040,3991,7906,3867,4039,11423,5684,5739,4036,2054,1982
55세,43728,21688,22040,1254,611,643,6080,2929,3151,4194,2087,2107,2810,1361,1449,7515,3783,3732,7338,3596,3742,10812,5384,5428,3725,1937,1788
56세,47176,23006,24170,1395,645,750,6867,3279,3588,4507,2192,2315,3102,1425,1677,8067,3988,4079,7748,3814,3934,11523,5613,5910,3967,2050,1917
57세,44426,21414,23012,1393,672,721,6436,3001,3435,4431,2141,2290,3069,1414,1655,7321,3609,3712,7260,3523,3737,10780,5220,5560,3736,1834,1902
58세,39042,19194,19848,1258,628,630,5772,2756,3016,3735,1795,1940,2772,1252,1520,6560,3323,3237,6435,3182,3253,9235,4581,4654,3275,1677,1598
59세,36712,18229,18483,1185,569,616,5674,2726,2948,3579,1775,1804,2729,1315,1414,6019,3130,2889,6161,2941,3220,8289,4169,4120,3076,1604,1472
60세,35667,17602,18065,1265,587,678,5525,2639,2886,3565,1716,1849,2628,1231,1397,5684,2875,2809,5958,2921,3037,8205,4136,4069,2837,1497,1340
61세,33697,16079,17618,1204,564,640,5432,2480,2952,3426,1580,1846,2655,1232,1423,5290,2564,2726,5504,2617,2887,7525,3729,3796,2661,1313,1348
62세,33285,16076,17209,1213,576,637,5305,2506,2799,3418,1588,1830,2670,1266,1404,5268,2578,2690,5432,2622,2810,7420,3615,3805,2559,1325,1234
63세,26402,12665,13737,943,441,502,4336,2016,2320,2759,1321,1438,2123,963,1160,4193,2046,2147,4409,2090,2319,5671,2831,2840,1968,957,1011
64세,29620,13766,15854,1068,474,594,4772,2264,2508,3212,1424,1788,2380,1063,1317,4555,2135,2420,4833,2251,2582,6441,2991,3450,2359,1164,1195
65세,25990,12279,13711,965,433,532,4421,2041,2380,2915,1389,1526,2137,962,1175,4024,1927,2097,4093,1931,2162,5464,2630,2834,1971,966,1005
66세,21670,10272,11398,882,399,483,3615,1720,1895,2203,1047,1156,1784,803,981,3383,1578,1805,3577,1651,1926,4529,2235,2294,1697,839,858
67세,22908,10888,12020,959,420,539,3946,1839,2107,2435,1200,1235,1976,934,1042,3540,1657,1883,3772,1786,1986,4564,2207,2357,1716,845,871
68세,23328,10709,12619,1019,400,619,3964,1820,2144,2514,1203,1311,2049,908,1141,3736,1681,2055,3711,1656,2055,4560,2151,2409,1775,890,885
69세,21771,9983,11788,961,443,518,3708,1738,1970,2294,1029,1265,1885,828,1057,3418,1538,1880,3587,1612,1975,4308,2019,2289,1610,776,834
70세,19217,8705,10512,880,376,504,3308,1490,1818,2019,888,1131,1762,771,991,2965,1347,1618,3193,1408,1785,3820,1825,1995,1270,600,670
71세,12600,5801,6799,621,252,369,2240,1014,1226,1237,588,649,1119,477,642,1932,886,1046,2095,975,1120,2393,1131,1262,963,478,485
72세,15474,6738,8736,748,317,431,2652,1165,1487,1622,723,899,1349,564,785,2507,1040,1467,2578,1126,1452,2917,1285,1632,1101,518,583
73세,16722,7062,9660,839,358,481,2972,1245,1727,1721,729,992,1534,661,873,2615,1060,1555,2885,1255,1630,2996,1269,1727,1160,485,675
74세,19347,8477,10870,926,408,518,3319,1471,1848,2013,896,1117,1752,753,999,3100,1384,1716,3260,1425,1835,3591,1548,2043,1386,592,794
75세,17322,7468,9854,818,382,436,2969,1274,1695,1839,800,1039,1607,715,892,2816,1232,1584,2844,1230,1614,3217,1340,1877,1212,495,717
76세,14362,5817,8545,642,282,360,2497,1071,1426,1396,574,822,1375,536,839,2289,917,1372,2479,1018,1461,2605,1035,1570,1079,384,695
77세,13991,5632,8359,677,270,407,2441,1001,1440,1352,557,795,1279,524,755,2300,932,1368,2383,1005,1378,2525,984,1541,1034,359,675
78세,12795,5134,7661,620,258,362,2123,858,1265,1284,518,766,1221,512,709,2016,821,1195,2200,899,1301,2371,909,1462,960,359,601
79세,11383,4341,7042,536,206,330,1917,740,1177,1079,397,682,1037,391,646,1731,666,1065,2033,808,1225,2180,806,1374,870,327,543
80세,10526,4003,6523,513,206,307,1750,675,1075,996,385,611,994,392,602,1609,594,1015,1869,723,1146,1973,714,1259,822,314,508
81세,9781,3518,6263,449,185,264,1643,616,1027,919,341,578,931,341,590,1421,492,929,1814,660,1154,1892,629,1263,712,254,458
82세,8658,3125,5533,409,162,247,1444,528,916,728,264,464,836,314,522,1348,469,879,1636,608,1028,1576,568,1008,681,212,469
83세,7176,2435,4741,334,113,221,1145,399,746,636,205,431,687,252,435,1059,350,709,1364,478,886,1396,467,929,555,171,384
84세,6178,2005,4173,264,84,180,990,335,655,537,158,379,608,240,368,938,310,628,1206,388,818,1125,318,807,510,172,338
85세,5224,1601,3623,264,86,178,857,273,584,433,116,317,521,167,354,736,205,531,1024,333,691,958,286,672,431,135,296
86세,4082,1097,2985,205,59,146,620,178,442,341,77,264,408,123,285,579,146,433,811,229,582,772,197,575,346,88,258
87세,3290,842,2448,167,38,129,547,160,387,267,57,210,294,74,220,492,114,378,619,179,440,642,167,475,262,53,209
88세,2924,751,2173,169,51,118,437,117,320,231,67,164,305,87,218,429,103,326,576,149,427,559,135,424,218,42,176
89세,2316,590,1726,131,43,88,397,102,295,200,48,152,239,73,166,302,65,237,433,114,319,412,92,320,202,53,149
90세,1860,433,1427,107,20,87,302,56,246,159,25,134,173,47,126,251,62,189,387,110,277,313,83,230,168,30,138
91세,1261,274,987,61,14,47,184,37,147,97,26,71,118,20,98,187,34,153,280,71,209,234,47,187,100,25,75
92세,1042,231,811,59,13,46,185,42,143,91,9,82,84,23,61,140,33,107,203,50,153,202,43,159,78,18,60
93세,752,162,590,39,9,30,132,20,112,81,12,69,78,14,64,90,15,75,136,37,99,138,42,96,58,13,45
94세,657,141,516,39,7,32,90,20,70,48,10,38,81,20,61,107,16,91,118,28,90,116,27,89,58,13,45
95세,464,84,380,24,3,21,73,10,63,36,7,29,32,6,26,66,11,55,112,22,90,91,18,73,30,7,23
96세,283,60,223,28,9,19,41,15,26,24,5,19,26,3,23,49,8,41,51,9,42,42,7,35,22,4,18
97세,230,39,191,14,4,10,41,10,31,17,3,14,32,5,27,34,5,29,39,7,32,34,4,30,19,1,18
98세,142,32,110,6,1,5,29,7,22,13,4,9,15,5,10,21,4,17,23,5,18,25,3,22,10,3,7
99세,113,25,88,10,2,8,21,8,13,16,2,14,15,2,13,8,1,7,21,5,16,14,4,10,8,1,7
100세 이상,599,134,465,87,15,72,104,20,84,89,23,66,66,16,50,73,18,55,90,21,69,66,13,53,24,8,16
